Serial Number,Project Name,Project Num,Sector,Vintage,Date of Action,Quantity,CreditType,Credit Status,Comments
ICR-ESP-34-15-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Gunvor Biodiesel Be,15,1,2020,,0,ICC,Ex-post,
ICR-ESP-34-15-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Gunvor Biodiesel Be,15,1,2020,,0,ICC,Ex-post,
ICR-ESP-34-15-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Gunvor Biodiesel Be,15,1,2020,,0,ICC,Ex-post,
ICR-ESP-34-15-1-A-0-2020,Substitution of fossil fuels for the use of sustainable biofuels manufactured by Gunvor Biodiesel Be,15,1,2020,,0,ICC,Ex-post,
FCC-ISL-354-17-14-R-0-2027,Arnaldsstaðir,17,14,2027,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2027,Arnaldsstaðir,17,14,2027,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2027,Arnaldsstaðir,17,14,2027,,80,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2027,Arnaldsstaðir,17,14,2027,,10,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2027,Arnaldsstaðir,17,14,2027,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2027,Arnaldsstaðir,17,14,2027,,0,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2027,Arnaldsstaðir,17,14,2027,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2027,Arnaldsstaðir,17,14,2027,,8,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2027,Arnaldsstaðir,17,14,2027,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2027,Arnaldsstaðir,17,14,2027,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2028,Arnaldsstaðir,17,14,2028,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2028,Arnaldsstaðir,17,14,2028,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2028,Arnaldsstaðir,17,14,2028,,91,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2028,Arnaldsstaðir,17,14,2028,,11,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2028,Arnaldsstaðir,17,14,2028,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2028,Arnaldsstaðir,17,14,2028,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2028,Arnaldsstaðir,17,14,2028,,9,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2028,Arnaldsstaðir,17,14,2028,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2028,Arnaldsstaðir,17,14,2028,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2029,Arnaldsstaðir,17,14,2029,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2029,Arnaldsstaðir,17,14,2029,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2029,Arnaldsstaðir,17,14,2029,,99,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2029,Arnaldsstaðir,17,14,2029,,13,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2029,Arnaldsstaðir,17,14,2029,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2029,Arnaldsstaðir,17,14,2029,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2029,Arnaldsstaðir,17,14,2029,,3,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2029,Arnaldsstaðir,17,14,2029,,10,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2029,Arnaldsstaðir,17,14,2029,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2029,Arnaldsstaðir,17,14,2029,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2030,Arnaldsstaðir,17,14,2030,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2030,Arnaldsstaðir,17,14,2030,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2030,Arnaldsstaðir,17,14,2030,,114,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2030,Arnaldsstaðir,17,14,2030,,14,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2030,Arnaldsstaðir,17,14,2030,,2,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2030,Arnaldsstaðir,17,14,2030,,1,FCC,Ex-ante,
FCC-ISL-354-17-14-R-0-2030,Arnaldsstaðir,17,14,2030,,3,FCC,Ex-ante,
