step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
512,0.14193,0.95392,,
513,0.10972,0.96907,,
514,0.45431,0.89069,,
515,0.03146,0.98396,,
516,0.09862,0.97929,,
517,0.13999,0.95874,,
518,0.04951,0.9875,,
519,0.12074,0.96689,,
520,0.02313,1.0,0.11773,0.97159
521,0.0389,0.97887,,
522,0.24207,0.95185,,
523,0.0673,0.97576,,
524,0.17472,0.98013,,
525,0.10938,0.95035,,
526,0.89367,0.82203,,
527,0.15442,0.94515,,
528,0.2624,0.93088,,
529,0.08525,0.96581,,
530,0.23782,0.94659,0.10185,0.96703
531,0.08837,0.98295,,
532,0.05526,0.97881,,
533,0.03716,0.98817,,
534,0.04214,0.98712,,
535,0.06882,0.98198,,
536,0.15808,0.94792,,
537,0.04875,0.98479,,
538,0.09204,0.9702,,
539,0.12776,0.96364,,
540,0.18969,0.944,0.25435,0.93162
541,0.1042,0.96667,,
542,0.07902,0.96887,,
543,0.29647,0.9267,,
544,0.21768,0.9505,,
545,0.0418,0.9893,,
546,0.26151,0.91617,,
547,0.23082,0.95652,,
548,0.2637,0.93158,,
549,0.41573,0.90406,,
550,0.34605,0.92233,0.28237,0.95
551,0.24735,0.95213,,
552,0.39936,0.90747,,
553,0.36889,0.91549,,
554,0.28962,0.93367,,
555,0.00671,1.0,,
556,0.1631,0.95436,,
557,0.09904,0.9759,,
558,0.32565,0.95,,
559,0.37727,0.9163,,
560,0.34362,0.93782,0.15744,0.95154
561,0.55035,0.87966,,
562,0.05849,0.99061,,
563,0.03706,0.98267,,
564,0.05254,0.97714,,
565,0.30992,0.9451,,
566,0.06872,0.98621,,
567,0.00697,1.0,,
568,0.08671,0.96818,,
569,0.2936,0.94853,,
570,0.06252,0.97765,0.23084,0.9437
571,0.14155,0.95676,,
572,0.27355,0.94309,,
573,0.1204,0.95745,,
574,0.4926,0.90476,,
575,0.18179,0.95172,,
576,0.07666,0.96809,,
577,0.33309,0.90732,,
578,0.08343,0.98561,,
579,0.33752,0.94241,,
580,0.4272,0.92,0.06692,0.9705
581,0.09237,0.97222,,
582,0.02261,0.99038,,
583,0.45058,0.90728,,
584,0.20819,0.94857,,
585,0.23968,0.94762,,
586,0.07915,0.9801,,
587,0.16904,0.96602,,
588,0.25743,0.9418,,
589,0.10184,0.96154,,
590,0.04081,0.97436,0.41939,0.90464
591,0.01913,0.99408,,
592,0.31792,0.92308,,
593,0.10137,0.96732,,
594,0.4791,0.88973,,
595,0.12707,0.96392,,
596,0.03596,0.99435,,
597,0.27762,0.9447,,
598,0.0263,0.99422,,
599,0.06032,0.98475,,
600,0.1688,0.95608,0.34111,0.90659
601,0.09653,0.96789,,
602,0.49664,0.89931,,
603,0.17368,0.9593,,
604,0.03423,0.99324,,
605,0.30585,0.92883,,
606,0.42553,0.90222,,
607,0.05988,0.97788,,
608,0.14544,0.94821,,
609,0.56596,0.89879,,
610,0.02287,0.9939,0.1941,0.96216
611,0.41529,0.90991,,
612,0.05667,0.98561,,
613,0.00695,1.0,,
614,0.26663,0.94805,,
615,0.2858,0.94304,,
616,0.15261,0.96935,,
617,0.04296,0.98113,,
618,0.17828,0.94366,,
619,0.01939,0.99526,,
620,0.04102,0.99371,0.36138,0.91667
621,0.07416,0.98039,,
622,0.0337,0.98261,,
623,0.067,0.98947,,
624,0.15671,0.96875,,
625,0.67906,0.85809,,
626,0.03069,0.99115,,
627,0.03533,0.98667,,
628,0.36329,0.92342,,
629,0.04805,0.98919,,
630,0.01682,0.98788,0.1631,0.97368
631,0.00505,1.0,,
632,0.42967,0.92096,,
633,0.29876,0.92737,,
634,0.07459,0.97674,,
635,0.22527,0.93293,,
636,0.07977,0.97898,,
637,0.03483,0.98605,,
638,0.34891,0.91246,,
639,0.07611,0.96667,,
640,0.51308,0.88255,0.6836,0.87389
641,0.00288,1.0,,
642,0.07887,0.97159,,
643,0.14003,0.95973,,
644,0.15417,0.96047,,
645,0.35186,0.91542,,
646,0.14234,0.97059,,
647,0.10079,0.98039,,
648,0.07322,0.97576,,
649,0.31179,0.9375,,
650,0.31946,0.92216,0.428,0.92143
651,0.07849,0.97778,,
652,0.20702,0.94886,,
653,0.23889,0.93852,,
654,0.14925,0.9703,,
655,0.22168,0.95279,,
656,0.07434,0.97073,,
657,0.26708,0.90968,,
658,0.41435,0.9108,,
659,0.00084,1.0,,
660,0.02742,0.98374,0.04744,0.98378
661,0.055,0.98113,,
662,0.12083,0.9638,,
663,0.11311,0.96172,,
