step,train_loss,train_accuracy,valid_loss,valid_mean_token_accuracy
757,0.8274,0.85256,,
758,0.82841,0.82243,,
759,0.00013,1.0,,
760,0.03163,0.9902,,
761,1.57424,0.70674,,
762,0.11973,0.95935,,
763,0.02187,1.0,,
764,0.44653,0.91089,,
765,1.38468,0.72727,,
766,1.23694,0.80822,,
767,0.4581,0.92593,,
768,0.15202,0.96078,,
769,0.32506,0.9375,,
770,1.72111,0.69778,,
771,0.20063,0.96084,,
772,1.25168,0.79717,,
773,0.75828,0.82,,
774,0.32574,0.93056,,
775,0.03449,0.9902,,
776,0.07417,0.97561,,
777,0.27718,0.95122,,
778,0.03096,0.99107,,
779,0.42361,0.9375,,
780,1.61298,0.71903,,
781,1.17884,0.80986,,
782,0.00229,1.0,,
783,1.38877,0.73665,,
784,1.36866,0.71523,,
785,0.87791,0.84047,,
786,0.6387,0.81944,,
787,0.23506,0.95833,,
788,0.0456,0.98214,,
789,0.01558,0.9902,,
790,0.49,0.91089,,
791,1.15869,0.75982,,
792,1.63242,0.71176,,
793,1.437,0.72131,,
794,0.00153,1.0,,
795,1.73846,0.66667,,
796,0.0015,1.0,,
797,0.01596,0.99107,,
798,0.7558,0.83113,,
799,0.00238,1.0,,
800,0.18687,0.96429,0.58662,0.90244
801,1.19134,0.76183,,
802,0.04025,0.9902,,
803,0.0007,1.0,,
804,0.00409,1.0,,
805,1.48511,0.71726,,
806,0.18905,0.97059,,
807,0.52234,0.90179,,
808,1e-05,1.0,,
809,1.33699,0.7089,,
810,1.45017,0.76106,,
811,0.00026,1.0,,
812,0.03528,0.98214,,
813,0.13569,0.97508,,
814,0.13422,0.97059,,
815,0.63153,0.85223,,
816,1.58501,0.70465,,
817,0.60376,0.91176,,
818,0.78065,0.81188,,
819,0.79418,0.82725,,
820,0.12772,0.96154,,
821,0.2607,0.94444,,
822,0.03946,0.99187,,
823,0.01681,0.99107,,
824,0.36978,0.9375,,
825,0.00106,1.0,,
826,0.88993,0.8587,,
827,1.72885,0.68182,,
828,0.13705,0.98058,,
829,0.34133,0.93564,,
830,0.3683,0.93293,,
831,1.37745,0.77722,,
832,0.00024,1.0,,
833,0.00011,1.0,,
834,0.577,0.86711,,
835,1.52455,0.71927,,
836,0.00124,1.0,,
837,0.00028,1.0,,
838,0.04157,0.9901,,
839,1e-05,1.0,,
840,0.36981,0.92708,,
841,0.51764,0.93902,,
842,1e-05,1.0,,
843,0.11726,0.99007,,
844,0.09415,0.9902,,
845,0.71814,0.88095,,
846,1.69817,0.70173,,
847,1.41475,0.72768,,
848,5e-05,1.0,,
849,1.63038,0.68617,,
850,1.17836,0.81731,,
851,1.23168,0.79167,,
852,0.45453,0.92166,,
853,0.096,0.98039,,
854,0.00606,0.99751,,
855,0.0,1.0,,
856,0.01633,0.99747,,
857,0.29418,0.94281,,
858,0.34594,0.93956,,
859,0.24149,0.93056,,
860,0.37901,0.92574,,
861,0.0,1.0,,
862,0.0,1.0,,
863,0.02173,0.99099,,
864,0.36595,0.92715,,
865,1.33588,0.77624,,
866,1.43345,0.75298,,
867,1.18144,0.78431,,
868,1.30379,0.75966,,
869,1.21993,0.80392,,
870,1.82212,0.68328,,
871,0.30706,0.94371,,
872,1.53342,0.74026,,
873,0.21216,0.97222,,
874,1.12029,0.77778,,
875,1.19996,0.76235,,
876,0.0,1.0,,
877,0.00446,1.0,,
878,1.06824,0.77273,,
879,0.51786,0.90099,,
880,0.00011,1.0,,
881,0.0,1.0,,
882,0.28501,0.96429,,
883,0.0822,0.9902,,
884,0.43657,0.92079,,
885,1.1491,0.76636,,
886,0.59884,0.89716,,
887,1.57903,0.71429,,
888,1.1,0.80597,,
889,0.7199,0.87023,,
890,0.0,1.0,,
891,1.37106,0.77273,,
892,0.60051,0.88028,,
893,1.64806,0.70996,,
894,0.00221,1.0,,
895,3e-05,1.0,,
896,0.06262,0.99107,,
897,1.04371,0.79268,,
898,0.27047,0.95622,,
899,0.06005,0.98958,,
900,0.01211,0.99107,1.14606,0.80176
901,0.29849,0.94943,,
902,1.25339,0.78146,,
903,0.20642,0.96407,,
904,0.52665,0.87375,,
905,0.21112,0.96026,,
906,1.55574,0.70588,,
907,0.00021,1.0,,
908,0.00133,1.0,,
909,0.14991,0.96748,,
910,1.61477,0.6962,,
911,0.0,1.0,,
912,0.0742,0.97826,,
913,1.1389,0.80128,,
914,0.91643,0.84028,,
915,0.12531,0.91667,,
916,0.33773,0.93564,,
917,0.06804,0.98675,,
918,1.61981,0.73267,,
919,1.07013,0.81788,,
920,0.10687,0.9902,,
921,0.5986,0.89381,,
922,0.0,1.0,,
923,0.10685,0.98214,,
924,1.15991,0.79412,,
925,1e-05,1.0,,
926,0.0,1.0,,
927,0.20436,0.98039,,
928,0.0,1.0,,
929,0.34675,0.94444,,
930,0.64931,0.90179,,
931,0.00388,0.99522,,
932,0.33156,0.95098,,
933,1.45737,0.73864,,
934,0.0,1.0,,
935,0.0,1.0,,
936,0.195,0.97321,,
937,0.14998,0.98039,,
938,1.0773,0.80282,,
939,1.46166,0.74238,,
940,0.0,1.0,,
941,0.38326,0.93137,,
942,0.43913,0.91667,,
943,0.991,0.77451,,
944,1.98992,0.67477,,
945,0.41348,0.92157,,
946,0.31398,0.94554,,
947,0.52791,0.87043,,
948,0.0,1.0,,
949,0.18323,0.95098,,
950,0.24814,0.95364,,
951,0.26924,0.93902,,
952,0.00939,1.0,,
953,0.00124,1.0,,
954,1.4415,0.75262,,
955,0.02498,0.99763,,
956,1.82175,0.68889,,
957,0.00725,0.99717,,
958,0.20947,0.94643,,
959,1.61728,0.69828,,
960,0.07437,0.9918,,
961,1.02546,0.80846,,
962,0.08247,0.99099,,
963,1.06858,0.80795,,
